file_path,file_name,cyclomatic_complexity,vocabulary,length,volume,difficulty,effort,total_loc,code_loc,comment_loc,comment_density,max_depth_of_nesting,avg_function_length,avg_num_parameters,num_functions,max_function_length,min_function_length,max_num_parameters,num_global_vars,num_external_calls,num_internal_calls,num_loops,max_loop_nesting_depth,static_memory_allocations,dynamic_memory_allocations,input_validations,bounds_checks,null_checks,error_handling,memory_checks,sanitization_checks,memory_management,io_operations,string_operations,network_operations,crypto_operations,threading,detailed_usage
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gemma7b-13118.c,gemma7b-13118.c,5,191,47,423,0.0,0.0,55,38,8,0.14545454545454545,3,47.0,0.0,1,47,47,0,6,12,0,1,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,"{'socket': 3, 'printf': 1, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gpt35-18479.c,gpt35-18479.c,5,188,39,351,0.0,0.0,55,43,5,0.09090909090909091,4,39.0,0.0,1,39,39,0,4,16,1,1,1,2,1,2,1,1,0,1,0,1,3,1,0,0,0,"{'fopen': 1, 'printf': 1, 'strncpy': 1, 'malloc': 1, 'sprintf': 1, 'fclose': 1, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gpt35-34643.c,gpt35-34643.c,10,347,83,830,0.11959654178674352,99.26512968299711,89,65,11,0.12359550561797752,2,83.0,1.0,1,83,83,1,5,24,0,0,0,1,0,0,4,0,0,0,0,0,2,3,5,0,0,"{'socket': 3, 'printf': 2, 'connect': 2, 'strcpy': 3, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gpt4o_mini-6417.c,gpt4o_mini-6417.c,3,114,31,248,0.13596491228070176,33.719298245614034,107,82,8,0.07476635514018691,3,47.5,0.5,2,64,31,1,6,29,0,2,1,1,-2,1,2,1,0,4,0,4,5,0,3,0,1,"{'free': 3, 'printf': 5, 'socket': 1, 'bind': 1, 'listen': 1, 'malloc': 1, 'pthread_create': 1, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'connect': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/mistral_7b-1774.c,mistral_7b-1774.c,1,28,4,24,0.14285714285714285,3.4285714285714284,105,51,34,0.3238095238095238,3,8.8,1.2,5,12,4,2,3,6,9,1,1,1,0,0,0,2,0,0,0,0,2,1,0,0,0,"{'strcpy': 1, 'printf': 2, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/falcon2-11B-4332.c,falcon2-11B-4332.c,1,52,7,49,0.0,0.0,183,127,32,0.17486338797814208,3,22.142857142857142,1.0,7,74,4,3,6,18,20,4,1,2,0,0,2,7,0,6,0,2,4,0,0,0,0,"{'malloc': 1, 'printf': 4, 'free': 1, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/falcon2-11B-436.c,falcon2-11B-436.c,1,53,11,77,0.20754716981132076,15.981132075471699,96,2,93,0.96875,2,15.6,1.4,5,27,9,2,1,7,13,3,1,0,0,0,0,1,0,2,0,2,4,0,0,0,0,"{'malloc': 1, 'free': 1, 'printf': 4, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gemini_pro-35358.c,gemini_pro-35358.c,5,202,43,387,0.10643564356435643,41.19059405940594,54,37,8,0.14814814814814814,2,43.0,1.0,1,43,43,1,2,11,1,0,0,2,0,0,3,0,0,0,0,0,1,0,5,0,0,"{'socket': 3, 'connect': 2, 'printf': 1, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gpt4o_mini-25007.c,gpt4o_mini-25007.c,1,32,6,42,0.09375,3.9375,89,69,1,0.011235955056179775,2,9.142857142857142,1.5714285714285714,7,24,4,3,4,11,19,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"{'printf': 10, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/mistral_7b-9527.c,mistral_7b-9527.c,2,70,7,56,0.1,5.6000000000000005,63,51,1,0.015873015873015872,3,13.333333333333334,2.0,3,20,7,4,5,10,5,3,1,1,0,1,0,0,0,2,0,2,3,0,0,0,0,"{'malloc': 1, 'printf': 3, 'free': 1, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
/Users/eneskose/Desktop/data intensive/datasets/DATASETv2/gpt4o_mini-20841.c,gpt4o_mini-20841.c,3,167,33,297,0.19760479041916168,58.68862275449102,66,42,9,0.13636363636363635,2,19.333333333333332,1.3333333333333333,3,33,9,2,0,16,5,0,0,2,0,4,0,0,0,0,0,0,11,0,0,0,0,"{'printf': 11, 'malloc': 0, 'free': 0, 'calloc': 0, 'realloc': 0, 'scanf': 0, 'fopen': 0, 'fclose': 0, 'fread': 0, 'fwrite': 0, 'strcpy': 0, 'strncpy': 0, 'strcat': 0, 'strncat': 0, 'socket': 0, 'connect': 0, 'bind': 0, 'listen': 0, 'encrypt': 0, 'decrypt': 0, 'hash': 0, 'pthread_create': 0, 'pthread_join': 0}"
