file_name,vulnerability,model
gemma7b-13118.c,0,gemma7b
gpt35-18479.c,1,gpt35
gpt35-34643.c,0,gpt35
gpt4o_mini-6417.c,1,gpt4o_mini
mistral_7b-1774.c,0,mistral_7b
falcon2-11B-4332.c,1,falcon2
falcon2-11B-436.c,1,falcon2
gemini_pro-35358.c,0,gemini_pro
gpt4o_mini-25007.c,0,gpt4o_mini
mistral_7b-9527.c,1,mistral_7b
gpt4o_mini-20841.c,0,gpt4o_mini
llama2-13B-16796.c,0,llama2
gemma7b-10574.c,1,gemma7b
llama2-13B-14548.c,0,llama2
mistral_7b-7541.c,0,mistral_7b
falcon2-11B-8054.c,1,falcon2
codellama_13b-4667.c,0,codellama_13b
gemma7b-41234.c,1,gemma7b
llama2-13B-15477.c,0,llama2
mistral_7b-6419.c,0,mistral_7b
falcon2-11B-1424.c,1,falcon2
llama2-13B-6170.c,0,llama2
gpt35-61323.c,1,gpt35
codellama_13b-1091.c,1,codellama_13b
codellama_13b-640.c,0,codellama_13b
llama2-13B-18026.c,1,llama2
gpt35-4508.c,0,gpt35
gemma7b-13561.c,0,gemma7b
gemma7b-34423.c,1,gemma7b
gemini_pro-25296.c,1,gemini_pro
gemma7b-26069.c,1,gemma7b
falcon180b-3328.c,1,falcon180b
gpt35-3044.c,0,gpt35
codellama_13b-6770.c,0,codellama_13b
gemma7b-40656.c,1,gemma7b
mistral_7b-7646.c,0,mistral_7b
gemini_pro-30213.c,1,gemini_pro
gemini_pro-33058.c,0,gemini_pro
falcon2-11B-2154.c,0,falcon2
falcon2-11B-10470.c,1,falcon2
gpt35-22844.c,0,gpt35
falcon2-11B-3181.c,1,falcon2
mistral_7b-2479.c,1,mistral_7b
llama2-13B-17985.c,1,llama2
llama2-13B-14967.c,1,llama2
codellama_13b-2140.c,0,codellama_13b
falcon180b-61262.c,1,falcon180b
gpt35-24046.c,0,gpt35
gpt4o_mini-306.c,0,gpt4o_mini
mistral_7b-7543.c,0,mistral_7b
codellama_13b-745.c,1,codellama_13b
gemma7b-6315.c,0,gemma7b
falcon2-11B-454.c,1,falcon2
gpt35-62171.c,1,gpt35
codellama_13b-4888.c,1,codellama_13b
codellama_13b-4451.c,0,codellama_13b
gemma7b-14887.c,1,gemma7b
gpt4o_mini-29104.c,0,gpt4o_mini
gpt4o_mini-6571.c,1,gpt4o_mini
codellama_13b-9191.c,1,codellama_13b
gpt4o_mini-27562.c,1,gpt4o_mini
gemini_pro-34460.c,0,gemini_pro
falcon180b-28676.c,1,falcon180b
gemma7b-20964.c,1,gemma7b
gemma7b-2970.c,0,gemma7b
codellama_13b-627.c,0,codellama_13b
mistral_7b-5377.c,1,mistral_7b
falcon180b-16988.c,0,falcon180b
falcon180b-42420.c,0,falcon180b
gpt4o_mini-1593.c,0,gpt4o_mini
gpt4o_mini-26222.c,0,gpt4o_mini
falcon180b-20116.c,0,falcon180b
codellama_13b-5301.c,0,codellama_13b
mistral_7b-6107.c,0,mistral_7b
gpt4o_mini-28866.c,0,gpt4o_mini
gemma7b-25176.c,0,gemma7b
llama2-13B-17382.c,1,llama2
codellama_13b-9771.c,1,codellama_13b
falcon180b-18910.c,1,falcon180b
falcon2-11B-6898.c,0,falcon2
codellama_13b-8683.c,1,codellama_13b
codellama_13b-686.c,1,codellama_13b
falcon180b-20384.c,1,falcon180b
codellama_13b-6972.c,1,codellama_13b
gpt4o_mini-22536.c,0,gpt4o_mini
codellama_13b-962.c,0,codellama_13b
gemma7b-25629.c,1,gemma7b
llama2-13B-15244.c,0,llama2
gpt35-61531.c,1,gpt35
codellama_13b-156.c,0,codellama_13b
falcon2-11B-10221.c,1,falcon2
llama2-13B-14758.c,0,llama2
gemini_pro-3921.c,1,gemini_pro
gpt4o_mini-20491.c,1,gpt4o_mini
codellama_13b-4954.c,0,codellama_13b
gemini_pro-4529.c,0,gemini_pro
codellama_13b-5973.c,0,codellama_13b
falcon180b-59258.c,0,falcon180b
falcon2-11B-2145.c,0,falcon2
gpt4o_mini-19361.c,0,gpt4o_mini
llama2-13B-3528.c,1,llama2
falcon180b-64258.c,0,falcon180b
gpt35-22108.c,1,gpt35
codellama_13b-5925.c,1,codellama_13b
llama2-13B-1102.c,1,llama2
codellama_13b-8182.c,1,codellama_13b
llama2-13B-6258.c,0,llama2
gpt4o_mini-36906.c,1,gpt4o_mini
codellama_13b-6364.c,0,codellama_13b
gemma7b-45839.c,1,gemma7b
codellama_13b-3833.c,1,codellama_13b
gpt35-27785.c,0,gpt35
gemini_pro-31677.c,1,gemini_pro
mistral_7b-8351.c,1,mistral_7b
gpt35-41376.c,0,gpt35
gpt35-31160.c,1,gpt35
mistral_7b-2825.c,0,mistral_7b
falcon180b-4796.c,0,falcon180b
falcon180b-32162.c,0,falcon180b
gpt35-10464.c,0,gpt35
llama2-13B-11337.c,1,llama2
gemma7b-5905.c,1,gemma7b
gpt4o_mini-16667.c,1,gpt4o_mini
gemini_pro-32820.c,0,gemini_pro
codellama_13b-8584.c,1,codellama_13b
gemma7b-32998.c,1,gemma7b
mistral_7b-4027.c,0,mistral_7b
codellama_13b-1440.c,0,codellama_13b
falcon180b-16018.c,1,falcon180b
gpt35-26156.c,0,gpt35
gemma7b-21659.c,0,gemma7b
gemini_pro-7980.c,0,gemini_pro
gpt35-55935.c,1,gpt35
mistral_7b-7522.c,1,mistral_7b
falcon2-11B-11339.c,1,falcon2
llama2-13B-14968.c,0,llama2
falcon2-11B-4547.c,0,falcon2
gpt4o_mini-13245.c,0,gpt4o_mini
mistral_7b-9910.c,0,mistral_7b
gemini_pro-15033.c,0,gemini_pro
gemini_pro-31267.c,0,gemini_pro
falcon2-11B-10864.c,0,falcon2
llama2-13B-3329.c,0,llama2
mistral_7b-9158.c,1,mistral_7b
llama2-13B-10876.c,1,llama2
gpt35-7587.c,0,gpt35
mistral_7b-9594.c,0,mistral_7b
gpt35-16012.c,1,gpt35
llama2-13B-19331.c,0,llama2
gpt35-15664.c,0,gpt35
gpt4o_mini-6401.c,1,gpt4o_mini
gemma7b-5482.c,1,gemma7b
llama2-13B-7714.c,1,llama2
falcon180b-28831.c,0,falcon180b
gemma7b-3375.c,0,gemma7b
gemini_pro-5800.c,1,gemini_pro
gemini_pro-8151.c,0,gemini_pro
falcon180b-11648.c,1,falcon180b
llama2-13B-19205.c,1,llama2
gpt35-67801.c,0,gpt35
codellama_13b-10088.c,0,codellama_13b
gemini_pro-38893.c,0,gemini_pro
gemini_pro-34792.c,0,gemini_pro
gemini_pro-2635.c,1,gemini_pro
mistral_7b-9182.c,0,mistral_7b
llama2-13B-13566.c,1,llama2
mistral_7b-5192.c,0,mistral_7b
gpt4o_mini-9134.c,1,gpt4o_mini
gemma7b-22389.c,0,gemma7b
llama2-13B-9105.c,1,llama2
gemini_pro-34147.c,0,gemini_pro
codellama_13b-3632.c,1,codellama_13b
gpt35-38684.c,1,gpt35
gemma7b-13303.c,0,gemma7b
gemma7b-313.c,0,gemma7b
falcon2-11B-8121.c,0,falcon2
gemma7b-16691.c,0,gemma7b
gpt35-63202.c,1,gpt35
gpt4o_mini-6925.c,0,gpt4o_mini
gpt35-59909.c,0,gpt35
gpt4o_mini-6.c,1,gpt4o_mini
falcon180b-71483.c,0,falcon180b
gemini_pro-34476.c,0,gemini_pro
gemini_pro-21516.c,0,gemini_pro
gpt4o_mini-465.c,0,gpt4o_mini
falcon2-11B-6785.c,0,falcon2
llama2-13B-11347.c,1,llama2
llama2-13B-8014.c,1,llama2
falcon180b-64959.c,1,falcon180b
llama2-13B-10711.c,1,llama2
falcon180b-2868.c,1,falcon180b
gemma7b-4291.c,1,gemma7b
codellama_13b-10008.c,1,codellama_13b
falcon2-11B-4807.c,0,falcon2
gemma7b-46677.c,1,gemma7b
gemini_pro-14748.c,0,gemini_pro
gpt4o_mini-6357.c,0,gpt4o_mini
mistral_7b-5236.c,1,mistral_7b
gemini_pro-11184.c,0,gemini_pro
gpt4o_mini-13285.c,0,gpt4o_mini
gpt4o_mini-37879.c,1,gpt4o_mini
gemini_pro-24911.c,0,gemini_pro
llama2-13B-12857.c,1,llama2
codellama_13b-8586.c,1,codellama_13b
llama2-13B-4412.c,0,llama2
gemma7b-7158.c,1,gemma7b
gemini_pro-14771.c,0,gemini_pro
gpt4o_mini-33509.c,1,gpt4o_mini
falcon2-11B-61.c,1,falcon2
falcon2-11B-389.c,0,falcon2
gpt35-7708.c,0,gpt35
gpt4o_mini-7380.c,0,gpt4o_mini
gemma7b-26053.c,1,gemma7b
llama2-13B-15060.c,0,llama2
gpt35-73575.c,0,gpt35
codellama_13b-7823.c,1,codellama_13b
gemma7b-41944.c,0,gemma7b
codellama_13b-913.c,1,codellama_13b
mistral_7b-1907.c,1,mistral_7b
llama2-13B-6987.c,1,llama2
gpt35-1888.c,1,gpt35
codellama_13b-9080.c,0,codellama_13b
